record_id,full_name,registration_no,state,address,valid_upto,source_url,scraped_at
CA/2026/00001,Architect Sample_00001,CA/2026/00001,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00001,2026-09-25 20:36:29
CA/2026/00002,Architect Sample_00002,CA/2026/00002,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00002,2026-09-25 20:36:30
CA/2026/00003,Architect Sample_00003,CA/2026/00003,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00003,2026-09-25 20:36:32
CA/2026/00004,Architect Sample_00004,CA/2026/00004,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00004,2026-09-25 20:36:32
CA/2026/00005,Architect Sample_00005,CA/2026/00005,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00005,2026-09-25 20:36:34
CA/2026/00006,Architect Sample_00006,CA/2026/00006,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00006,2026-09-25 20:36:35
CA/2026/00007,Architect Sample_00007,CA/2026/00007,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00007,2026-09-25 20:36:36
CA/2026/00008,Architect Sample_00008,CA/2026/00008,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00008,2026-09-25 20:36:37
CA/2026/00009,Architect Sample_00009,CA/2026/00009,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00009,2026-09-25 20:36:37
CA/2026/00010,Architect Sample_00010,CA/2026/00010,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00010,2026-09-25 20:36:38
CA/2026/00011,Architect Sample_00011,CA/2026/00011,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00011,2026-09-25 20:36:39
CA/2026/00012,Architect Sample_00012,CA/2026/00012,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00012,2026-09-25 20:36:40
CA/2026/00013,Architect Sample_00013,CA/2026/00013,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00013,2026-09-25 20:36:41
